,Nifty50,SP500,USDINR,US_Bond_Yield,India_Bond_Yield,Nifty50_MA50,SP500_MA50,Nifty50_MA200,SP500_MA200,Nifty50_Volatility,SP500_Volatility
2025-01-01,,,,,6.758,,,,,,
2025-01-02,,,,4.57,6.758,,,,,,
2025-01-03,,,,4.6,6.758,,,,,,
2025-01-06,,,,4.62,6.758,,,,,,
2025-01-07,,,,4.67,6.758,,,,,,
2025-01-08,,,,4.67,6.758,,,,,,
2025-01-09,,,,4.68,6.758,,,,,,
2025-01-10,,,,4.77,6.758,,,,,,
2025-01-13,,,,4.79,6.758,,,,,,
2025-01-14,,,,4.78,6.758,,,,,,
2025-01-15,,,,4.66,6.758,,,,,,
2025-01-16,,,,4.61,6.758,,,,,,
2025-01-17,,,,4.61,6.758,,,,,,
2025-01-20,,,,4.61,6.758,,,,,,
2025-01-21,,,,4.57,6.758,,,,,,
2025-01-22,,,,4.6,6.758,,,,,,
2025-01-23,,,,4.65,6.758,,,,,,
2025-01-24,,,,4.63,6.758,,,,,,
2025-01-27,,,,4.53,6.758,,,,,,
2025-01-28,,,,4.55,6.758,,,,,,
2025-01-29,,,,4.55,6.758,,,,,,
2025-01-30,,,,4.52,6.758,,,,,,
2025-01-31,,,,4.58,6.758,,,,,,
2025-02-03,,,,4.54,6.7325,,,,,,
2025-02-04,,,,4.52,6.7325,,,,,,
2025-02-05,,,,4.43,6.7325,,,,,,
2025-02-06,,,,4.45,6.7325,,,,,,
2025-02-07,,,,4.49,6.7325,,,,,,
2025-02-10,,,,4.51,6.7325,,,,,,
2025-02-11,,,,4.54,6.7325,,,,,,
2025-02-12,,,,4.62,6.7325,,,,,,
2025-02-13,,,,4.52,6.7325,,,,,,
2025-02-14,,,,4.47,6.7325,,,,,,
2025-02-17,,,,4.47,6.7325,,,,,,
2025-02-18,,,,4.55,6.7325,,,,,,
2025-02-19,,,,4.53,6.7325,,,,,,
2025-02-20,,,,4.5,6.7325,,,,,,
2025-02-21,,,,4.42,6.7325,,,,,,
2025-02-24,,,,4.4,6.7325,,,,,,
2025-02-25,,,,4.3,6.7325,,,,,,
2025-02-26,,,,4.25,6.7325,,,,,,
2025-02-27,,,,4.29,6.7325,,,,,,
2025-02-28,,,,4.24,6.7325,,,,,,
2025-03-03,,,,4.16,6.6825,,,,,,
2025-03-04,,,,4.22,6.6825,,,,,,
2025-03-05,,,,4.28,6.6825,,,,,,
2025-03-06,,,,4.29,6.6825,,,,,,
2025-03-07,,,,4.32,6.6825,,,,,,
2025-03-10,,,,4.22,6.6825,,,,,,
2025-03-11,,,,4.28,6.6825,,,,,,
2025-03-12,,,,4.32,6.6825,,,,,,
2025-03-13,,,,4.27,6.6825,,,,,,
2025-03-14,,,,4.31,6.6825,,,,,,
2025-03-17,,,,4.31,6.6825,,,,,,
2025-03-18,,,,4.29,6.6825,,,,,,
2025-03-19,,,,4.25,6.6825,,,,,,
2025-03-20,23190.650390625,,86.33709716796875,4.24,6.6825,,,,,,
2025-03-21,23350.400390625,5667.56005859375,86.33609771728516,4.25,6.6825,,,,,,
2025-03-24,23658.349609375,5767.56982421875,85.98699951171875,4.34,6.6825,,,,,,
2025-03-25,23668.650390625,5776.64990234375,85.53209686279297,4.31,6.6825,,,,,,
2025-03-26,23486.849609375,5712.2001953125,85.59040069580078,4.35,6.6825,,,,,,
2025-03-27,23591.94921875,5693.31005859375,86.09539794921875,4.38,6.6825,,,,,,
2025-03-28,23519.349609375,5580.93994140625,85.69490051269531,4.27,6.6825,,,,,,
2025-03-31,23519.349609375,5611.85009765625,85.53880310058594,4.23,6.6825,,,,,,
2025-04-01,23165.69921875,5633.06982421875,85.46810150146484,4.17,6.455,,,,,,
2025-04-02,23332.349609375,5670.97021484375,85.61009979248047,4.2,6.455,,,,,,
2025-04-03,23250.099609375,5396.52001953125,85.65119934082031,4.06,6.455,,,,,,
2025-04-04,22904.44921875,5074.080078125,85.28289794921875,4.01,6.455,,,,,,
2025-04-07,22161.599609375,5062.25,85.529296875,4.15,6.455,,,,,,
2025-04-08,22535.849609375,4982.77001953125,86.0270004272461,4.26,6.455,,,,,,
2025-04-09,22399.150390625,5456.89990234375,86.435302734375,4.34,6.455,,,,,,
2025-04-10,22399.150390625,5268.0498046875,86.20929718017578,4.4,6.455,,,,,,
2025-04-11,22828.55078125,5363.35986328125,86.2603988647461,4.48,6.455,,,,,,
2025-04-14,22828.55078125,5405.97021484375,86.19300079345703,4.38,6.455,,,,,,
2025-04-15,23328.55078125,5396.6298828125,86.0447998046875,4.35,6.455,,,,,,
2025-04-16,23437.19921875,5275.7001953125,85.72669982910156,4.29,6.455,,,,,,
2025-04-17,23851.650390625,5282.7001953125,85.62049865722656,4.34,6.455,,,,,,
2025-04-18,23851.650390625,5282.7001953125,85.62049865722656,4.34,6.455,,,,,,
2025-04-21,24125.55078125,5158.2001953125,85.62049865722656,4.42,6.455,,,,,,
2025-04-22,24167.25,5287.759765625,85.15889739990234,4.41,6.455,,,,,,
2025-04-23,24328.94921875,5375.85986328125,85.2323989868164,4.4,6.455,,,,,,
2025-04-24,24246.69921875,5484.77001953125,85.4999008178711,4.32,6.455,,,,,,
2025-04-25,24039.349609375,5525.2099609375,85.2573013305664,4.29,6.455,,,,,,
2025-04-28,24328.5,5528.75,85.38490295410156,4.23,6.455,,,,,,
2025-04-29,24335.94921875,5560.830078125,85.1603012084961,4.19,6.455,,,,,,
2025-04-30,24334.19921875,5569.06005859375,85.1707992553711,4.17,6.455,,,,,629.5881220472651,
2025-05-01,24334.19921875,5604.14013671875,84.53119659423828,4.25,6.272,,,,,646.3478144107972,214.4228581487584
2025-05-02,24346.69921875,5686.669921875,84.69670104980469,4.33,6.272,,,,,663.2219875381804,215.12317523667338
2025-05-05,24461.150390625,5650.3798828125,84.52629852294922,4.36,6.272,,,,,683.8878627863221,210.1488209118856
2025-05-06,24379.599609375,5606.91015625,84.2208023071289,4.3,6.272,,,,,699.5519150136488,203.08563662518404
2025-05-07,24414.400390625,5631.27978515625,84.79319763183594,4.26,6.272,,,,,714.9802269105688,199.8520363639051
2025-05-08,24273.80078125,5663.93994140625,84.81719970703125,4.37,6.272,,,,,724.6679336515797,198.62090697904446
2025-05-09,24008.0,5659.91015625,86.08219909667969,4.37,6.272,,,,,727.1720557330586,201.11648202745445
2025-05-12,24924.69921875,5844.18994140625,85.4083023071289,4.45,6.272,,,,,761.9705763361529,212.18795274755632
2025-05-13,24578.349609375,5886.5498046875,84.9656982421875,4.49,6.272,,,,,770.7231527020747,224.566580030926
2025-05-14,24666.900390625,5892.580078125,85.060302734375,4.53,6.272,,,,,783.7203088251978,235.31151353076118
2025-05-15,25062.099609375,5916.93017578125,85.48760223388672,4.45,6.272,,,,,809.1039766559642,249.08520440240122
2025-05-16,25019.80078125,5958.3798828125,85.44490051269531,4.43,6.272,,,,,814.8634185473247,251.7629133820635
2025-05-19,24945.44921875,5963.60009765625,85.50029754638672,4.46,6.272,,,,,763.0122325204059,250.3919167587048
2025-05-20,24683.900390625,5940.4599609375,85.37210083007812,4.48,6.272,,,,,717.7947825293463,237.75891845190907
2025-05-21,24813.44921875,5844.60986328125,85.53610229492188,4.58,6.272,,,,,653.2347049437108,241.84811528392945
2025-05-22,24609.69921875,5842.009765625,85.60030364990234,4.54,6.272,,,,,564.2602681709094,238.68449229635124
2025-05-23,24853.150390625,5802.81982421875,85.97489929199219,4.51,6.272,,,,,506.2554487070474,236.94901321897333
2025-05-26,25001.150390625,5802.81982421875,85.19930267333984,4.51,6.272,,,,,436.1956402573068,235.79872259215097
2025-05-27,24826.19921875,5921.5400390625,85.158203125,4.43,6.272,,,,,393.9793137084764,237.28766466364848
2025-05-28,24752.44921875,5888.5498046875,85.3604965209961,4.47,6.272,23942.4328515625,,,,348.9575928505103,230.3771404104952
2025-05-29,24833.599609375,5912.169921875,85.38590240478516,4.43,6.272,23975.2918359375,5595.452587890625,,,333.14824042061366,222.53079676905682
2025-05-30,24750.69921875,5911.68994140625,85.36129760742188,4.41,6.272,24003.2978125,5600.335185546875,,,310.8064441696966,212.24690005944868
2025-06-02,24716.599609375,5935.93994140625,85.52429962158203,4.46,6.3075,24024.4628125,5603.702587890625,,,301.69089008091026,188.6107711864158
2025-06-03,24542.5,5970.3701171875,85.36370086669922,4.46,6.3075,24041.9398046875,5607.5769921875,,,292.13464378094255,173.12549011638572
2025-06-04,24620.19921875,5970.81005859375,85.70880126953125,4.37,6.3075,24064.606796875,5612.749189453125,,,288.3043211776055,161.34739717050576
2025-06-05,24750.900390625,5939.2998046875,85.9041976928711,4.4,6.3075,24087.7858203125,5617.668984375,,,282.2267331266477,153.90953595819104
2025-06-06,25003.05078125,6000.35986328125,85.87750244140625,4.51,6.3075,24117.45984375,5626.0573828125,,,269.97632835312646,149.64027936367907
2025-06-09,25103.19921875,6005.8798828125,85.7853012084961,4.49,6.3075,24149.1368359375,5633.937978515625,,,276.22612468681626,143.93640838320715
2025-06-10,25104.25,6038.81005859375,85.75599670410156,4.47,6.3075,24187.9078515625,5642.052783203125,,,280.2657549796603,139.9533727270328
2025-06-11,25141.400390625,6022.240234375,85.65280151367188,4.41,6.3075,24224.0888671875,5649.07818359375,,,283.6094336751761,133.7890404844267
2025-06-12,24888.19921875,6045.259765625,85.46980285644531,4.36,6.3075,24256.850859375,5662.052978515625,,,275.72542712976366,129.17929471707853
